"Team-Name","Year","Wins","Losses","OT Losses","Win","Goals For","Goals Against (GA)","+/-"
"Boston Bruins","1990","44","24","","0.55","299","264","35"
"Boston Bruins","1991","36","32","","0.45","270","275","-5"
"Boston Bruins","1992","51","26","","0.607","332","268","64"
"Boston Bruins","1993","42","29","","0.5","289","252","37"
"Boston Bruins","1994","27","18","","0.563","150","127","23"
"Boston Bruins","1995","40","31","","0.488","282","269","13"
"Boston Bruins","1996","26","47","","0.317","234","300","-66"
"Boston Bruins","1997","39","30","","0.476","221","194","27"
"Boston Bruins","1998","39","30","","0.476","214","181","33"
"Boston Bruins","1999","24","33","6","0.293","210","248","-38"
"Boston Bruins","2000","36","30","8","0.439","227","249","-22"
"Boston Bruins","2001","43","24","9","0.524","236","201","35"
"Boston Bruins","2002","36","31","4","0.439","245","237","8"
"Boston Bruins","2003","41","19","7","0.5","209","188","21"
"Boston Bruins","2005","29","37","16","0.354","230","266","-36"
"Boston Bruins","2006","35","41","6","0.427","219","289","-70"
"Boston Bruins","2007","41","29","12","0.5","212","222","-10"
"Boston Bruins","2008","53","19","10","0.646","274","196","78"
"Boston Bruins","2009","39","30","13","0.476","206","200","6"
"Boston Bruins","2010","46","25","11","0.561","246","195","51"
"Boston Bruins","2011","49","29","4","0.598","269","202","67"
"Buffalo Sabres","1990","31","30","","0.388","292","278","14"
"Buffalo Sabres","1991","31","37","","0.388","289","299","-10"
"Buffalo Sabres","1992","38","36","","0.452","335","297","38"
"Buffalo Sabres","1993","43","32","","0.512","282","218","64"
"Buffalo Sabres","1994","22","19","","0.458","130","119","11"
"Buffalo Sabres","1995","33","42","","0.402","247","262","-15"
"Buffalo Sabres","1996","40","30","","0.488","237","208","29"
"Buffalo Sabres","1997","36","29","","0.439","211","187","24"
"Buffalo Sabres","1998","37","28","","0.451","207","175","32"
"Buffalo Sabres","1999","35","32","4","0.427","213","204","9"
"Buffalo Sabres","2000","46","30","1","0.561","218","184","34"
"Buffalo Sabres","2001","35","35","1","0.427","213","200","13"
"Buffalo Sabres","2002","27","37","8","0.329","190","219","-29"
"Buffalo Sabres","2003","37","34","4","0.451","220","221","-1"
"Buffalo Sabres","2005","52","24","6","0.634","281","239","42"
"Buffalo Sabres","2006","53","22","7","0.646","308","242","66"
"Buffalo Sabres","2007","39","31","12","0.476","255","242","13"
"Buffalo Sabres","2008","41","32","9","0.5","250","234","16"
"Buffalo Sabres","2009","45","27","10","0.549","235","207","28"
"Buffalo Sabres","2010","43","29","10","0.524","245","229","16"
"Buffalo Sabres","2011","39","32","11","0.476","218","230","-12"
"Edmonton Oilers","1990","37","37","","0.463","272","272","0"
"Edmonton Oilers","1991","36","34","","0.45","295","297","-2"
"Edmonton Oilers","1992","26","50","","0.31","242","337","-95"
"Edmonton Oilers","1993","25","45","","0.298","261","305","-44"
"Edmonton Oilers","1994","17","27","","0.354","136","183","-47"
"Edmonton Oilers","1995","30","44","","0.366","240","304","-64"
"Edmonton Oilers","1996","36","37","","0.439","252","247","5"
"Edmonton Oilers","1997","35","37","","0.427","215","224","-9"
"Edmonton Oilers","1998","33","37","","0.402","230","226","4"
"Edmonton Oilers","1999","32","26","8","0.39","226","212","14"
"Edmonton Oilers","2000","39","28","3","0.476","243","222","21"
"Edmonton Oilers","2001","38","28","4","0.463","205","182","23"
"Edmonton Oilers","2002","36","26","9","0.439","231","230","1"
"Edmonton Oilers","2003","36","29","5","0.439","221","208","13"
"Edmonton Oilers","2005","41","28","13","0.5","256","251","5"
"Edmonton Oilers","2006","32","43","7","0.39","195","248","-53"
"Edmonton Oilers","2007","41","35","6","0.5","235","251","-16"
"Edmonton Oilers","2008","38","35","9","0.463","234","248","-14"
"Edmonton Oilers","2009","27","47","8","0.329","214","284","-70"
"Edmonton Oilers","2010","25","45","12","0.305","193","269","-76"
"Edmonton Oilers","2011","32","40","10","0.39","212","239","-27"
